group,group_type,status,n_rows,mean_gap_residual_fraction,median_gap_residual_fraction,std_gap_residual_fraction,min_gap_residual_fraction,max_gap_residual_fraction,span_gap_residual_fraction,mean_gap_rms_uK,median_gap_rms_uK,std_gap_rms_uK,min_gap_rms_uK,max_gap_rms_uK,span_gap_rms_uK,mean_abs_gap_rms_uK,gap_to_span_ratio_rms,gap_to_std_ratio_rms,planck_ahead_fraction,cptg_ahead_fraction,sign_flip,attribution_read
Planck components non-inpainted,run,ok,5,0.00023382786572672,0.0002374495114946,1.4586520537370615e-05,0.0002103725681229,0.0002462267318423,3.5854163719399975e-05,0.02351772126265738,0.0238659680113819,0.0014602784645864476,0.0211483892743977,0.0246894331002067,0.0035410438258090017,0.02351772126265738,6.641465742741668,16.10495657711259,1.0,0.0,False,metric-stable sign; physical attribution still comparison-limited
Planck components inpainted,run,ok,5,0.00026146935382078,0.0002498363468373,4.836187880243834e-05,0.000198297680383,0.0003133679211359,0.00011507024075289998,0.026407515228459,0.0250365136858903,0.0049637672739136435,0.020043326754223,0.0317217417084023,0.0116784149541793,0.026407515228459,2.2612242613462428,5.32005506528073,1.0,0.0,False,metric-stable sign; physical attribution still comparison-limited
Planck SMICA split full-band,run,ok,5,0.0002376903375804,0.0002381748802847,2.460762398305884e-06,0.0002338270573221,0.0002405224802473,6.695422925199991e-06,0.02389067845531508,0.0239523587653422,0.000252507726751716,0.023494599780232,0.0241842701692149,0.0006896703889829013,0.02389067845531508,34.640719446499816,94.61365306577781,1.0,0.0,False,metric-stable sign; physical attribution still comparison-limited
Planck SMICA split bands,run,ok,20,0.0009050768374832549,0.00093914041766405,0.0002571280677873985,0.0005414099976982,0.0011996978776344,0.0006582878799362001,0.044491222318421335,0.046762114026090054,0.007447831398745888,0.0328549800480342,0.0515306323323407,0.018675652284306503,0.044491222318421335,2.3823115595168867,5.973715023397689,1.0,0.0,False,metric-stable sign; physical attribution still comparison-limited
Planck low-ell bands non-inpainted,run,ok,20,0.000907920073839235,0.00094040325965465,0.00025597780837376377,0.0005299061808166,0.0012370722205693,0.0007071660397527001,0.04468252928222074,0.047003426216034996,0.007429530672455643,0.0323185866777748,0.052989556377728,0.020670969699953204,0.04468252928222074,2.1616077973507886,6.014179260054398,1.0,0.0,False,metric-stable sign; physical attribution still comparison-limited
Planck low-ell bands inpainted,run,ok,20,0.00087757076170299,0.00089070281825375,0.00022966668347541445,0.0005406389425268,0.0012366828041877,0.0006960438616609,0.044103046028034734,0.045590815423452946,0.006474397756800416,0.0333001602133578,0.0529690988185347,0.0196689386051769,0.044103046028034734,2.242268732102643,6.811914819677379,1.0,0.0,False,metric-stable sign; physical attribution still comparison-limited
WMAP low-ell bands,run,ok,4,0.000777488908467475,0.00076843277916715,7.651222470526053e-05,0.0006996364236535,0.0008734536518821,0.00017381722822860002,0.04141677727667398,0.0406627608559544,0.002558460270131269,0.0392382279678535,0.0451033594269336,0.005865131459080103,0.04141677727667398,7.061525826936854,16.188165108598294,1.0,0.0,False,metric-stable sign; physical attribution still comparison-limited
Smoothing ladder non-inpainted,run,ok,30,0.00032254976435820335,0.00023590734722589999,0.00020723329091936507,0.0001380214380371,0.000793255593199,0.0006552341551619,0.023161363853946324,0.02252775861326305,0.008621076301562653,0.0123495981954562,0.0416663815042266,0.0293167833087704,0.023161363853946324,0.7900376930854272,2.686597710514185,1.0,0.0,False,scatter comparable/larger than mean gap; attribution-limited
Smoothing ladder inpainted,run,ok,30,0.0003541433812365867,0.0002790249895611,0.00019302910570163535,0.000170769599021,0.0007926477926889,0.0006218781936679,0.026067184304694176,0.02413517411284255,0.008026539764642805,0.0152563533711305,0.0416308275540693,0.026374474182938798,0.026067184304694176,0.9883489666518773,3.2476241405444792,1.0,0.0,False,scatter comparable/larger than mean gap; attribution-limited
Smoothing ladder bands,run,ok,120,0.0009342987960191492,0.00100017837968755,0.00023170275825417302,0.0005299061808166,0.0012463659982534,0.0007164598174368,0.04534277180849901,0.047977119663491,0.006501307226645456,0.0323185866777748,0.052989556377728,0.020670969699953204,0.04534277180849901,2.1935483659773185,6.9744084116903,1.0,0.0,False,metric-stable sign; physical attribution still comparison-limited
Mask ladder non-inpainted,run,ok,150,0.00013263891493399733,0.0001559511403219,8.280894448007906e-05,-6.681635438821054e-06,0.0002534397724391,0.00026012140787792104,0.013257105200455364,0.0155125348300764,0.008332511688820375,-0.0006568220383904,0.0255465261481084,0.0262033481864988,0.013304548707038259,0.5077423164530321,1.5967032755428119,0.96,0.04,True,sign-changing; attribution-limited
