component,ell_min,ell_max,ell_band,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_band_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used,run,family,component_or_band
SMICA,2,30,2-30,0.2412490456394991,0.2400496803914514,0.0011993652480476,10.352125924128064,10.30066051814521,0.0514654059828529,0.9704625171169862,0.9707598899774008,42.91053627460708,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,SMICA ell=2-30
SMICA,2,40,2-40,0.2327046820230576,0.2316402241280206,0.001064457895037,10.910225877018457,10.860319377628477,0.04990649938998,0.9725470182838916,0.9728011029669444,46.88442786010386,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,SMICA ell=2-40
SMICA,2,64,2-64,0.2127017152066205,0.2118885411752379,0.0008131740313826,11.401244205982987,11.357656425297952,0.0435877806850371,0.9771170749213062,0.977293735484209,53.60203228689392,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,SMICA ell=2-64
SMICA,2,95,2-95,0.1937469473132608,0.1932034462739481,0.0005435010393126,11.76553098926323,11.732526194042428,0.033004795220803,0.9810515134789684,0.9811586927256448,60.72627802615164,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,SMICA ell=2-95
SMICA_noSZ,2,30,2-30,0.2383197909769598,0.2371503270380634,0.0011694639388963,10.282556031191726,10.23209828939502,0.0504577417967055,0.9711857847221832,0.9714720231192252,43.14604334386068,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,SMICA_noSZ ell=2-30
SMICA_noSZ,2,40,2-40,0.2300205371232488,0.2289834081505291,0.0010371289727196,10.8443878638884,10.795492104467485,0.0488957594209154,0.9731852352500326,0.9734297909195504,47.14530276084782,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,SMICA_noSZ ell=2-40
SMICA_noSZ,2,64,2-64,0.2101374280597369,0.2093457004393135,0.0007917276204233,11.320827825829737,11.278174728956298,0.0426530968734386,0.9776717310206208,0.977841567882504,53.87344810659575,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,SMICA_noSZ ell=2-64
SMICA_noSZ,2,95,2-95,0.1913205289711196,0.190790622790303,0.0005299061808166,11.668497788159458,11.636179201481683,0.0323185866777748,0.9815275817878774,0.9816307234449204,60.98926158583249,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,SMICA_noSZ ell=2-95
NILC,2,30,2-30,0.245835995948071,0.2445989237275017,0.0012370722205693,10.530298999818864,10.477309443441134,0.052989556377728,0.969311389271251,0.9696242951406424,42.834650634495446,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,NILC ell=2-30
NILC,2,40,2-40,0.2372815120242765,0.2361810154500347,0.0011004965742417,11.086902686372484,11.035482336252429,0.0514203501200576,0.9714408468455348,0.9717089915904216,46.7246798614389,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,NILC ell=2-40
NILC,2,64,2-64,0.2166253369253801,0.2157816593787903,0.0008436775465897,11.58286807811124,11.537756985100083,0.0451110930111546,0.9762547625970948,0.9764415877867592,53.46959059595663,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,NILC ell=2-64
NILC,2,95,2-95,0.1973498900754559,0.196784128141278,0.0005657619341778,11.961426561946425,11.927135588565967,0.0342909733804557,0.9803331108495632,0.9804468340123969,60.61025196098676,0.7820383707682291,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-nilc_2048_R3.00_full.fits,Planck low-ell bands non-inpainted,Planck low-ell bands,NILC ell=2-95
