run,family,path,csv_name,status,rows
Planck components non-inpainted,component_separation,cptg_planck_component_robustness_v4,component_cptg_vs_planck_delta.csv,ok,5
Planck components inpainted,component_separation_inpainted,cptg_planck_component_robustness_v4_inpainted,component_cptg_vs_planck_delta.csv,ok,5
Planck SMICA split full-band,split_maps,cptg_planck_splitmap_stability,splitmap_cptg_vs_planck_delta.csv,ok,5
Planck SMICA split bands,split_maps_bandlimited,cptg_planck_splitmap_stability_bands,splitmap_band_cptg_vs_planck_delta.csv,ok,20
Planck low-ell bands non-inpainted,planck_lowell_bands,cptg_planck_lowell_bandtest,planck_band_cptg_vs_planck_delta.csv,ok,20
Planck low-ell bands inpainted,planck_lowell_bands_inpainted,cptg_planck_lowell_bandtest_inpainted,planck_band_cptg_vs_planck_delta.csv,ok,20
WMAP low-ell bands,wmap_lowell_bands,cptg_wmap_lowell_bandtest,wmap_band_cptg_vs_planck_delta.csv,ok,4
Smoothing ladder non-inpainted,smoothing_beam_transfer,cptg_cmb_smoothing_ladder_v2,smoothing_ladder_delta.csv,ok,30
Smoothing ladder inpainted,smoothing_beam_transfer_inpainted,cptg_cmb_smoothing_ladder_v2_inpainted,smoothing_ladder_delta.csv,ok,30
Smoothing ladder bands,smoothing_beam_transfer_bandlimited,cptg_cmb_smoothing_ladder_v2_bands,smoothing_ladder_band_delta.csv,ok,120
Mask ladder non-inpainted,mask_sky_fraction,cptg_cmb_mask_ladder,mask_ladder_delta.csv,ok,150
Mask ladder inpainted,mask_sky_fraction_inpainted,cptg_cmb_mask_ladder_inpainted,mask_ladder_delta.csv,ok,150
Mask ladder bands,mask_sky_fraction_bandlimited,cptg_cmb_mask_ladder_bands,mask_ladder_band_delta.csv,ok,600
