component,ell_min,ell_max,ell_band,mask_label,mask_threshold,galactic_cut_deg,galactic_cut_label,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_band_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used
SMICA,2,30,2-30,mask_ge_0.50_no_galactic_cut,0.5,-1.0,no_galactic_cut,0.241025735877925,0.23982903713575435,0.0011966987421706543,10.37879316494622,10.327262200086803,0.05153096485941688,0.9705179675943085,0.9708143892004484,43.06093341917182,0.842749277750651,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,40,2-40,mask_ge_0.50_no_galactic_cut,0.5,-1.0,no_galactic_cut,0.23255948166599158,0.2314975110871698,0.0010619705788217915,10.940506393312251,10.89054714923466,0.049959244077591336,0.972581725133137,0.9728350502079232,47.043905993157104,0.842749277750651,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,64,2-64,mask_ge_0.50_no_galactic_cut,0.5,-1.0,no_galactic_cut,0.21243095051709013,0.2116180647954238,0.0008128857216663232,11.421345379967326,11.377640597029643,0.04370478293768265,0.9771759785255966,0.9773523407204119,53.76497799480719,0.842749277750651,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,95,2-95,mask_ge_0.50_no_galactic_cut,0.5,-1.0,no_galactic_cut,0.19348910762696492,0.1929435077965045,0.0005455998304604304,11.780322829416546,11.747104721083078,0.033218108333468166,0.9811023935479598,0.9812098371526006,60.8836485624208,0.842749277750651,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,30,2-30,mask_ge_0.50_abs_b_gt_10deg,0.5,10.0,abs_b_gt_10deg,0.24925561982405675,0.24798987262402936,0.001265747200027395,10.465853666410291,10.41270692097881,0.05314674543148179,0.9684365627724514,0.9687614701761137,41.98843610345826,0.7878214518229166,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,40,2-40,mask_ge_0.50_abs_b_gt_10deg,0.5,10.0,abs_b_gt_10deg,0.2419381210302152,0.24082013603917915,0.0011179849910360473,11.118151036573579,11.066774569177568,0.051376467396011094,0.9702910641860322,0.9705691509398007,45.95452336833291,0.7878214518229166,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,64,2-64,mask_ge_0.50_abs_b_gt_10deg,0.5,10.0,abs_b_gt_10deg,0.22233827362011888,0.22150452295469264,0.0008337506654262361,11.747285342914761,11.703233966549659,0.04405137636510226,0.9749694870866751,0.9751592466922128,52.83519185268953,0.7878214518229166,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,95,2-95,mask_ge_0.50_abs_b_gt_10deg,0.5,10.0,abs_b_gt_10deg,0.20273969560943428,0.20219306408082077,0.000546631528613506,12.159075914472274,12.126292328437598,0.03278358603467524,0.9792326359866099,0.9793456512999869,59.97382938709741,0.7878214518229166,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,30,2-30,mask_ge_0.50_abs_b_gt_20deg,0.5,20.0,abs_b_gt_20deg,0.26607532283039664,0.2647552155729243,0.001320107257472336,10.867551885034493,10.813633566109683,0.05391831892480958,0.9639515338282687,0.9643149518219918,40.84389250919656,0.646630605061849,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,40,2-40,mask_ge_0.50_abs_b_gt_20deg,0.5,20.0,abs_b_gt_20deg,0.2557037640978334,0.25452990323787816,0.0011738608599552447,11.435330682190862,11.382834438516744,0.05249624367411876,0.9667549739626516,0.967064696246398,44.721010355622504,0.646630605061849,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,64,2-64,mask_ge_0.50_abs_b_gt_20deg,0.5,20.0,abs_b_gt_20deg,0.23659388587758515,0.23575864045091025,0.0008352454266749021,12.292770332243046,12.249373267424206,0.04339706481884065,0.9716085459231255,0.9718115547640114,51.95726122273247,0.646630605061849,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,95,2-95,mask_ge_0.50_abs_b_gt_20deg,0.5,20.0,abs_b_gt_20deg,0.2156650214112703,0.21512614608511033,0.0005388753261599821,12.757791565857927,12.725914078047689,0.031877487810238136,0.9764673876548757,0.9765862491766967,59.15558991612733,0.646630605061849,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,30,2-30,mask_ge_0.50_abs_b_gt_30deg,0.5,30.0,abs_b_gt_30deg,0.25921647588795793,0.2578723230640257,0.0013441528239322431,10.115663731701561,10.06320951202151,0.05245421968005104,0.9658180007953394,0.9661777693249132,39.02399990992043,0.49425379435221356,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,40,2-40,mask_ge_0.50_abs_b_gt_30deg,0.5,30.0,abs_b_gt_30deg,0.25249957441935544,0.25133318451485226,0.0011663899045031845,10.873823096730767,10.823592843818277,0.05023025291249006,0.9675966476121501,0.9679002760080319,43.064718511847246,0.49425379435221356,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
