component,mask_label,mask_threshold,galactic_cut_deg,galactic_cut_label,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used
SMICA,mask_ge_0.50_no_galactic_cut,0.5,-1.0,no_galactic_cut,0.18177523963151201,0.18152845851498875,0.00024678111652326473,18.275645346606414,18.250834023716887,0.024811322889526366,0.9833401050790648,0.9833856917553621,100.53979509890412,0.842749277750651,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.50_abs_b_gt_10deg,0.5,10.0,abs_b_gt_10deg,0.18594284934072533,0.18575433915905673,0.00018851018166859967,18.596729180333412,18.577875684172326,0.01885349616108556,0.9825605613798327,0.9825962169088491,100.01314514792875,0.7878214518229166,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.50_abs_b_gt_20deg,0.5,20.0,abs_b_gt_20deg,0.1924489672391994,0.19229991537844002,0.00014905186075939159,19.130887990325824,19.116071104094402,0.014816886231422188,0.9813069830631828,0.981336202606143,99.40758978741407,0.646630605061849,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.50_abs_b_gt_30deg,0.5,30.0,abs_b_gt_30deg,0.19561254166336486,0.19555877561659513,5.376604676973762e-05,19.305962384906863,19.30065594970749,0.005306435199372572,0.9806812599127191,0.980691982877059,98.69491097422086,0.49425379435221356,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.50_abs_b_gt_40deg,0.5,40.0,abs_b_gt_40deg,0.19240123208525514,0.19239636494592688,4.867139328262882e-06,18.906990691852,18.90651240511247,0.0004782867395292101,0.981316343434713,0.98131729769509,98.26855310091828,0.35579681396484375,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.70_no_galactic_cut,0.7,-1.0,no_galactic_cut,0.18183152414635861,0.18158797352377623,0.00024355062258238358,18.279337190443037,18.25485329539774,0.024483895045296578,0.9833296989446685,0.9833747036971859,100.52897744909049,0.8408215840657552,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.70_abs_b_gt_10deg,0.7,10.0,abs_b_gt_10deg,0.18593088152869358,0.18574401971149035,0.00018686181720323214,18.595018928839043,18.576330806675564,0.018688122163478482,0.9825628261307077,0.98259816768678,100.01038437484839,0.7867355346679688,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.70_abs_b_gt_20deg,0.7,20.0,abs_b_gt_20deg,0.19243798600943812,0.19229055899270614,0.00014742701673198244,19.12931495433996,19.114659958752416,0.014654995587545017,0.9813091365826732,0.9813380360111763,99.4050881066785,0.6460316975911459,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.70_abs_b_gt_30deg,0.7,30.0,abs_b_gt_30deg,0.195543089844449,0.1954909512600132,5.2138584435784674e-05,19.298424192979194,19.29327856231506,0.00514563066413487,0.9806951106302537,0.9807055052233851,98.69141480954782,0.49385325113932294,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.70_abs_b_gt_40deg,0.7,40.0,abs_b_gt_40deg,0.19232838260040316,0.19232434057995657,4.0420204465985154e-06,18.89952246341682,18.899125266418668,0.0003971969981506618,0.9813306238196752,0.9813314159958829,98.2669443161906,0.3556073506673177,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.80_no_galactic_cut,0.8,-1.0,no_galactic_cut,0.18164158093214108,0.18139984211453777,0.00024173881760330973,18.258488336048472,18.234188914303026,0.024299421745446637,0.9833648031511361,0.9834094250518552,100.5193207543685,0.8397038777669271,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.80_abs_b_gt_10deg,0.8,10.0,abs_b_gt_10deg,0.18581321912100154,0.18562727628929793,0.00018594283170361714,18.58269287635588,18.564097221264955,0.018595655090923202,0.9825850841529659,0.9826202289274409,100.00737818472878,0.7860755920410156,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.80_abs_b_gt_20deg,0.8,20.0,abs_b_gt_20deg,0.19240200185587616,0.19225551906287827,0.0001464827929978929,19.125373647160316,19.110812789570783,0.014560857589533072,0.9813161925097597,0.9813449013419613,99.40319467926683,0.6456820170084635,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.80_abs_b_gt_30deg,0.8,30.0,abs_b_gt_30deg,0.19548994678855242,0.1954386309810995,5.1315807452906315e-05,19.292341767543206,19.287277557788574,0.005064209754632287,0.9807057054512371,0.9807159331428411,98.68712987277223,0.49364598592122394,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.80_abs_b_gt_40deg,0.8,40.0,abs_b_gt_40deg,0.1922898929215538,0.19228648944357088,3.403477982916181e-06,18.895283851711056,18.89494941040687,0.00033444130418658347,0.9813381665257993,0.9813388334196644,98.26457108392867,0.35552088419596356,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.90_no_galactic_cut,0.9,-1.0,no_galactic_cut,0.18145600425061847,0.18121617612804816,0.0002398281225703125,18.239213355837915,18.21510681654562,0.024106539292294116,0.9833990637179799,0.983443286371679,100.5158987775724,0.8384526570638021,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.90_abs_b_gt_10deg,0.9,10.0,abs_b_gt_10deg,0.18568561743972903,0.18550061382758085,0.0001850036121481824,18.57006744254897,18.55156558116586,0.018501861383111162,0.9826092058779148,0.9826441483413978,100.00810885946272,0.7853101094563802,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.90_abs_b_gt_20deg,0.9,20.0,abs_b_gt_20deg,0.1923437646277806,0.1921981402980985,0.00014562432968209804,19.11984013868893,19.105364421687064,0.014475717001865007,0.9813276090117985,0.9813561406879527,99.40452281200392,0.6452649434407552,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.90_abs_b_gt_30deg,0.9,30.0,abs_b_gt_30deg,0.1954282211452278,0.19537749072351435,5.0730421713440776e-05,19.286237952836416,19.281231516310108,0.005006436526308278,0.9807180075740487,0.9807281152891372,98.68706699481397,0.49339040120442706,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.90_abs_b_gt_40deg,0.9,40.0,abs_b_gt_40deg,0.19226420720857235,0.19226077301349226,3.4341950800875765e-06,18.89248318534901,18.8921457305843,0.0003374547647112536,0.9813431992052825,0.9813438720246102,98.26313207041204,0.3554026285807292,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.95_no_galactic_cut,0.95,-1.0,no_galactic_cut,0.18139202948295594,0.18115304310813352,0.0002389863748224197,18.232743205140828,18.208721327144946,0.024021877995881624,0.9834108661388964,0.9834549176106969,100.51568008314293,0.8376681009928385,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.95_abs_b_gt_10deg,0.95,10.0,abs_b_gt_10deg,0.1856212067669035,0.18543693994311486,0.0001842668237886369,18.563765587031334,18.5453372717442,0.018428315287135177,0.9826213755045219,0.9826561663697703,100.0088616509376,0.7848409016927084,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.95_abs_b_gt_20deg,0.95,20.0,abs_b_gt_20deg,0.1923158538163022,0.19217061789890882,0.00014523591739337705,19.11713157857615,19.102694421744573,0.014437156831576203,0.9813330792197452,0.9813615305361993,99.40486548153541,0.6449979146321615,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.95_abs_b_gt_30deg,0.95,30.0,abs_b_gt_30deg,0.1954086129807916,0.1953583307564628,5.028222432879037e-05,19.283906967482604,19.278944864117335,0.004962103365269144,0.9807219147000454,0.9807319320813657,98.68504091668767,0.49322764078776044,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.95_abs_b_gt_40deg,0.95,40.0,abs_b_gt_40deg,0.1922796396446368,0.19227639408001085,3.2455646259421655e-06,18.894085470161226,18.893766549366728,0.00031892079449846733,0.9813401755650936,0.9813408114817136,98.26357853114602,0.3553326924641927,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.99_no_galactic_cut,0.99,-1.0,no_galactic_cut,0.18126545356954815,0.18102815749548248,0.00023729607406566822,18.21892784377171,18.195077297703072,0.023850546068636902,0.9834342048872542,0.9834779134244912,100.50965302542576,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.99_abs_b_gt_10deg,0.99,10.0,abs_b_gt_10deg,0.18546399469490224,0.18528072538001128,0.00018326931489096032,18.547776106327824,18.52944781449226,0.018328291835562283,0.9826510604847528,0.982685632744601,100.00742266357341,0.7841669718424479,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,mask_ge_0.99_abs_b_gt_20deg,0.99,20.0,abs_b_gt_20deg,0.19223217446614277,0.19208797975169517,0.00014419471444759857,19.10818707059711,19.093853884251445,0.014333186345666604,0.9813494744992827,0.9813777091593799,99.40160706012601,0.6446253458658854,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
