scope,n_rows,mean_sky_fraction,mean_gap_residual_fraction,std_gap_residual_fraction,min_gap_residual_fraction,max_gap_residual_fraction,span_gap_residual_fraction,mean_gap_rms_uK,std_gap_rms_uK,span_gap_rms_uK,planck_ahead_all_rows
threshold_0.50_all_cuts_components,25,0.6260484313964844,0.00013441821022899925,8.508816272271583e-05,-4.8046203801888065e-06,0.00025343977243919014,0.00025824439281937894,0.01343616786924926,0.008564338337216856,0.026018862327720882,False
threshold_0.70_all_cuts_components,25,0.6254503885904947,0.0001332824719627057,8.459846608259802e-05,-5.682465372913725e-06,0.0002507118621651039,0.0002563943275380176,0.01332204825899339,0.008513473655125439,0.025806710635407626,False
threshold_0.80_all_cuts_components,25,0.6251025899251302,0.0001327377814146391,8.441268796194566e-05,-6.314490268416462e-06,0.00024973214495174756,0.000256046635220164,0.013267037417178358,0.0084935962957158,0.025702123493797302,False
threshold_0.90_all_cuts_components,25,0.6247082010904947,0.0001322663203340213,8.400681735158554e-05,-6.275831527458031e-06,0.0002487691878317322,0.0002550450193591902,0.01321955646642948,0.00845249712296697,0.025565785220887705,False
threshold_0.95_all_cuts_components,25,0.6244518025716146,0.00013184828273533179,8.379637919445193e-05,-6.437345020260388e-06,0.0002475926926940042,0.0002540300377142646,0.013177598668829803,0.008430986492540909,0.025461896901109782,False
threshold_0.99_all_cuts_components,25,0.624072519938151,0.0001312804229284892,8.345479279267845e-05,-6.681635438821054e-06,0.0002462729222124094,0.00025295455765123043,0.013120222522052104,0.008395786797026078,0.02535088669928598,False
galactic_cut_no_galactic_cut_all_thresholds_components,30,0.8368534088134766,0.00023647510208091028,1.4795171373066731e-05,0.0002101828393994698,0.00025343977243919014,4.3256933039720336e-05,0.02378784268595157,0.0014846972398299921,0.004417209973098579,True
galactic_cut_abs_b_gt_10deg_all_thresholds_components,30,0.7883711920844185,0.00018995638054368215,1.574535807826866e-05,0.00017532663076474941,0.0002210158176752519,4.56891869105025e-05,0.01901292385196669,0.0015635962136644284,0.004536172427318519,True
galactic_cut_abs_b_gt_20deg_all_thresholds_components,30,0.6471340179443359,0.0001562872852031096,1.1090419629747793e-05,0.000142540561944543,0.00017647831547257242,3.393775352802941e-05,0.01554475258545196,0.0010963965716834863,0.003345420680943789,True
galactic_cut_abs_b_gt_30deg_all_thresholds_components,30,0.4957943386501736,6.559873178291671e-05,1.7957991994250596e-05,3.89861905347455e-05,8.827140157666169e-05,4.928521104191619e-05,0.006477414868175894,0.0017728896943736564,0.004855804578927092,True
galactic_cut_abs_b_gt_40deg_all_thresholds_components,30,0.35670865376790367,1.4877075059536542e-05,1.3923831690678336e-05,-6.681635438821054e-06,2.9958400717317035e-05,3.664003615613809e-05,0.0014625920107308825,0.0013686920488195327,0.003598967080399973,False
