component,model,family,rank,residual_fraction,residual_rms_uK,masked_corr,description
COMMANDER,observed_self_spectrum_control,data_control,1,0.11530457877837183,11.625107701235635,0.993330183832517,Observed self-spectrum upper control
COMMANDER,planck_tilt_plus_2p0pct,planck_perturbation,2,0.1790783688092565,18.054836559185247,0.9838348122650549,Planck endpoint-normalized tilt perturbation plus 2.0 percent
COMMANDER,planck_tilt_plus_1p0pct,planck_perturbation,3,0.17926443305397619,18.073595717816517,0.9838009265302794,Planck endpoint-normalized tilt perturbation plus 1.0 percent
COMMANDER,cptg_tilt_plus_2p0pct,cptg_perturbation,4,0.17934044535664628,18.08125934414013,0.9837870728258629,CPTG endpoint-normalized tilt perturbation plus 2.0 percent
COMMANDER,planck_tilt_plus_0p5pct,planck_perturbation,5,0.17936484747697748,18.083719587089664,0.9837826241043093,Planck endpoint-normalized tilt perturbation plus 0.5 percent
COMMANDER,planck_ripple_minus_1p0pct,planck_perturbation,6,0.17942180492954019,18.08946208688841,0.9837722378253139,Planck sinusoidal ripple perturbation minus 1.0 percent
COMMANDER,planck_ripple_minus_2p0pct,planck_perturbation,7,0.1794348288639207,18.09077517125567,0.9837698624122286,Planck sinusoidal ripple perturbation minus 2.0 percent
COMMANDER,planck_ripple_minus_0p5pct,planck_perturbation,8,0.17943832416401512,18.091127570444637,0.9837692248801088,Planck sinusoidal ripple perturbation minus 0.5 percent
COMMANDER,planck2018_baseline_lcdm,benchmark,9,0.17947016101040383,18.09433738892763,0.9837634173452984,Planck 2018 baseline LCDM TT envelope
COMMANDER,cptg_tilt_plus_1p0pct,cptg_perturbation,10,0.17951060660013426,18.098415148385563,0.9837560379067831,CPTG endpoint-normalized tilt perturbation plus 1.0 percent
COMMANDER,planck_ripple_plus_0p5pct,planck_perturbation,11,0.17951728443908946,18.099088413904486,0.9837548193465763,Planck sinusoidal ripple perturbation plus 0.5 percent
COMMANDER,planck_ripple_plus_1p0pct,planck_perturbation,12,0.17957966054082722,18.10537722661572,0.9837434348040353,Planck sinusoidal ripple perturbation plus 1.0 percent
COMMANDER,planck_tilt_minus_0p5pct,planck_perturbation,13,0.17958035660743074,18.10544740465478,0.9837433077387351,Planck endpoint-normalized tilt perturbation minus 0.5 percent
COMMANDER,cptg_tilt_plus_0p5pct,cptg_perturbation,14,0.179603061588728,18.107736540574024,0.9837391627194455,CPTG endpoint-normalized tilt perturbation plus 0.5 percent
COMMANDER,cptg_ripple_minus_1p0pct,cptg_perturbation,15,0.17966043005702026,18.11352047933533,0.9837286871245172,CPTG sinusoidal ripple perturbation minus 1.0 percent
COMMANDER,cptg_ripple_minus_0p5pct,cptg_perturbation,16,0.17967277028666995,18.114764631998266,0.9837264333225539,CPTG sinusoidal ripple perturbation minus 0.5 percent
COMMANDER,cptg_ripple_minus_2p0pct,cptg_perturbation,17,0.17968175688210097,18.115670668348773,0.9837247919229044,CPTG sinusoidal ripple perturbation minus 2.0 percent
COMMANDER,planck_tilt_minus_1p0pct,planck_perturbation,18,0.17969541704171263,18.117047897495993,0.9837222967353159,Planck endpoint-normalized tilt perturbation minus 1.0 percent
COMMANDER,cptg_locked_pi_cmb,cptg,19,0.17970041143789295,18.117551436853354,0.9837213844016262,Locked CPTG geometric-pi CMB comparison envelope
COMMANDER,cptg_ripple_plus_0p5pct,cptg_perturbation,20,0.17974332375383548,18.121877893788774,0.9837135444660319,CPTG sinusoidal ripple perturbation plus 0.5 percent
COMMANDER,planck_ripple_plus_2p0pct,planck_perturbation,21,0.1797500209122611,18.122553107113475,0.9837123207432352,Planck sinusoidal ripple perturbation plus 2.0 percent
COMMANDER,cptg_ripple_plus_1p0pct,cptg_perturbation,22,0.17980147460488355,18.127740713058525,0.9837029174145563,CPTG sinusoidal ripple perturbation plus 1.0 percent
COMMANDER,cptg_tilt_minus_0p5pct,cptg_perturbation,23,0.17980263987545184,18.127858196648518,0.9837027044253861,CPTG endpoint-normalized tilt perturbation minus 0.5 percent
COMMANDER,cptg_tilt_minus_1p0pct,cptg_perturbation,24,0.17990973044552838,18.138655160863784,0.9836831242280297,CPTG endpoint-normalized tilt perturbation minus 1.0 percent
COMMANDER,planck_tilt_minus_2p0pct,planck_perturbation,25,0.17994006263945753,18.141713278979967,0.9836775761687913,Planck endpoint-normalized tilt perturbation minus 2.0 percent
COMMANDER,cptg_ripple_plus_2p0pct,cptg_perturbation,26,0.17996334720511012,18.14406084909692,0.9836733165348812,CPTG sinusoidal ripple perturbation plus 2.0 percent
COMMANDER,cptg_tilt_minus_2p0pct,cptg_perturbation,27,0.18013843126021947,18.161712975482356,0.983641268747457,CPTG endpoint-normalized tilt perturbation minus 2.0 percent
COMMANDER,observed_smoothed_spectrum_control,data_control,28,0.19727257935788625,19.88919265681536,0.9803486774783176,Observed spectrum smoothed with width=31
COMMANDER,flat_dl_null,bad_null,29,0.38876877440867863,39.196005234668156,0.92133535699265,Flat D_l null matched to mean observed D_l
COMMANDER,powerlaw_dl_null,smooth_null,30,0.5527622546745825,55.729970239266855,0.8333390005316395,Fitted smooth power-law D_l null
COMMANDER,flat_cl_null,bad_null,31,0.776635580143811,78.30107320488239,0.6299501374352465,Flat C_l null matched to mean observed C_l
COMMANDER,shuffled_spectrum_null_seed_271844,shuffled_null,32,0.9290959687230542,93.67226189646615,0.36983872282735536,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271841,shuffled_null,33,0.9407679131551278,94.84903746377904,0.3390512255954044,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271843,shuffled_null,34,0.9416162543780804,94.93456796212273,0.33668802991938124,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271845,shuffled_null,35,0.9428345992776478,95.05740255225592,0.33326103643383964,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271831,shuffled_null,36,0.9443418316005228,95.20936302312225,0.3289658114293487,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271835,shuffled_null,37,0.9464534260248844,95.42225580556513,0.32284038217942734,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271842,shuffled_null,38,0.9482479228714566,95.60317853501743,0.3175309067948626,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271829,shuffled_null,39,0.9493520275191747,95.71449532381406,0.3142144615469378,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271846,shuffled_null,40,0.9520158686496244,95.9830660984403,0.3060486658021903,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271840,shuffled_null,41,0.9521160467851544,95.99316614500553,0.3057368696350008,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271833,shuffled_null,42,0.9521323887395673,95.99481375503204,0.30568597336659953,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271838,shuffled_null,43,0.9525356515395942,96.0354710605084,0.30442705619908444,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271828,shuffled_null,44,0.9557999585068766,96.36458132192735,0.29401775340658015,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271834,shuffled_null,45,0.9563992614801237,96.42500356780415,0.2920624122345665,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271847,shuffled_null,46,0.9590855993941779,96.69584248767757,0.2831162535685832,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271836,shuffled_null,47,0.9593954915381269,96.72708608257503,0.2820643380796582,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271839,shuffled_null,48,0.96201890548081,96.9915809530453,0.2729828300415689,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271832,shuffled_null,49,0.9639013539883096,97.18137104528245,0.26625960974113827,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271837,shuffled_null,50,0.9652982454703959,97.32220685681952,0.2611499517361146,Observed spectrum values shuffled across ell
COMMANDER,shuffled_spectrum_null_seed_271830,shuffled_null,51,0.9660289211822307,97.39587421621452,0.25843398274897095,Observed spectrum values shuffled across ell
NILC,observed_self_spectrum_control,data_control,1,0.11435007663045554,11.466011613958248,0.9934405165759089,Observed self-spectrum upper control
NILC,planck_tilt_plus_2p0pct,planck_perturbation,2,0.18299421478927874,18.349037043865085,0.9831139900101388,Planck endpoint-normalized tilt perturbation plus 2.0 percent
NILC,planck_tilt_plus_1p0pct,planck_perturbation,3,0.1831863795288022,18.368305619803955,0.9830782015461078,Planck endpoint-normalized tilt perturbation plus 1.0 percent
NILC,cptg_tilt_plus_2p0pct,cptg_perturbation,4,0.18327192554653046,18.376883415829138,0.9830622570857183,CPTG endpoint-normalized tilt perturbation plus 2.0 percent
NILC,planck_tilt_plus_0p5pct,planck_perturbation,5,0.18328954748760448,18.3786503878065,0.9830589716704636,Planck endpoint-normalized tilt perturbation plus 0.5 percent
NILC,planck_ripple_minus_2p0pct,planck_perturbation,6,0.18333227673993757,18.382934898302196,0.9830510039185917,Planck sinusoidal ripple perturbation minus 2.0 percent
NILC,planck_ripple_minus_1p0pct,planck_perturbation,7,0.1833348435945342,18.383192279717964,0.9830505252143288,Planck sinusoidal ripple perturbation minus 1.0 percent
NILC,planck_ripple_minus_0p5pct,planck_perturbation,8,0.18335864428409482,18.38557880179966,0.983046086186349,Planck sinusoidal ripple perturbation minus 0.5 percent
NILC,planck2018_baseline_lcdm,benchmark,9,0.18339741834510825,18.389466720784945,0.9830388532221651,Planck 2018 baseline LCDM TT envelope
NILC,cptg_tilt_plus_1p0pct,cptg_perturbation,10,0.18344835863416217,18.394574561226523,0.9830293483484771,CPTG endpoint-normalized tilt perturbation plus 1.0 percent
NILC,planck_ripple_plus_0p5pct,planck_perturbation,11,0.18345113383557224,18.394852833813097,0.9830288304492615,Planck sinusoidal ripple perturbation plus 0.5 percent
NILC,planck_tilt_minus_0p5pct,planck_perturbation,12,0.18350997628286636,18.400753032605692,0.9830178475514378,Planck endpoint-normalized tilt perturbation minus 0.5 percent
NILC,planck_ripple_plus_1p0pct,planck_perturbation,13,0.1835197561724141,18.401733673200276,0.9830160217892777,Planck sinusoidal ripple perturbation plus 1.0 percent
NILC,cptg_tilt_plus_0p5pct,cptg_perturbation,14,0.1835436526314673,18.404129798197392,0.9830115602467243,CPTG endpoint-normalized tilt perturbation plus 0.5 percent
NILC,cptg_ripple_minus_1p0pct,cptg_perturbation,15,0.18358928631203614,18.408705538999744,0.9830030386277742,CPTG sinusoidal ripple perturbation minus 1.0 percent
NILC,cptg_ripple_minus_2p0pct,cptg_perturbation,16,0.18359486260770858,18.4092646804785,0.9830019971617844,CPTG sinusoidal ripple perturbation minus 2.0 percent
NILC,cptg_ripple_minus_0p5pct,cptg_perturbation,17,0.18360898751398236,18.41068100081823,0.9829993589540587,CPTG sinusoidal ripple perturbation minus 0.5 percent
NILC,planck_tilt_minus_1p0pct,planck_perturbation,18,0.18362720532741608,18.412507721591552,0.9829959559752232,Planck endpoint-normalized tilt perturbation minus 1.0 percent
NILC,cptg_locked_pi_cmb,cptg,19,0.18364364507695058,18.414156153885152,0.9829928848281918,Locked CPTG geometric-pi CMB comparison envelope
NILC,cptg_ripple_plus_0p5pct,cptg_perturbation,20,0.1836932282674798,18.41912791652159,0.9829836203562455,CPTG sinusoidal ripple perturbation plus 0.5 percent
NILC,planck_ripple_plus_2p0pct,planck_perturbation,21,0.18370157002754467,18.419964354245142,0.9829820614687812,Planck sinusoidal ripple perturbation plus 2.0 percent
NILC,cptg_tilt_minus_0p5pct,cptg_perturbation,22,0.18374832087766327,18.424652114902745,0.9829733234298067,CPTG endpoint-normalized tilt perturbation minus 0.5 percent
NILC,cptg_ripple_plus_1p0pct,cptg_perturbation,23,0.18375770371754355,18.42559294287776,0.9829715694385343,CPTG sinusoidal ripple perturbation plus 1.0 percent
NILC,cptg_tilt_minus_1p0pct,cptg_perturbation,24,0.18385766478187937,18.435616151942344,0.9829528773552444,CPTG endpoint-normalized tilt perturbation minus 1.0 percent
NILC,planck_tilt_minus_2p0pct,planck_perturbation,25,0.18387561208530578,18.437415748371052,0.9829495202095854,Planck endpoint-normalized tilt perturbation minus 2.0 percent
NILC,cptg_ripple_plus_2p0pct,cptg_perturbation,26,0.18393118492327395,18.442988099735736,0.982939122841654,CPTG sinusoidal ripple perturbation plus 2.0 percent
NILC,cptg_tilt_minus_2p0pct,cptg_perturbation,27,0.18409029511613917,18.458942258867502,0.9829093362279417,CPTG endpoint-normalized tilt perturbation minus 2.0 percent
NILC,observed_smoothed_spectrum_control,data_control,28,0.18844403399893944,18.89549658454282,0.9820839302474135,Observed spectrum smoothed with width=31
NILC,flat_dl_null,bad_null,29,0.39240086712390126,39.346479096032546,0.9197943028092805,Flat D_l null matched to mean observed D_l
