model,family,description,mean_rank,median_rank,best_rank,worst_rank,mean_residual_fraction,std_residual_fraction,mean_residual_rms_uK,std_residual_rms_uK,mean_corr,n_components,n_rows
observed_self_spectrum_control,data_control,Observed self-spectrum upper control,1.0,1.0,1,1,0.11436625839518873,0.0005842716397169104,11.502844077659415,0.07497084240021659,0.9934385145596416,5,5
planck_tilt_plus_2p0pct,planck_perturbation,Planck endpoint-normalized tilt perturbation plus 2.0 percent,2.0,2.0,2,2,0.1808422083264527,0.0015694518668129837,18.188581708823286,0.120444429172788,0.9835110870567482,5,5
planck_tilt_plus_1p0pct,planck_perturbation,Planck endpoint-normalized tilt perturbation plus 1.0 percent,3.0,3.0,3,3,0.18103703688328113,0.0015816152089796597,18.20817572496925,0.12171699558150127,0.9834752269918363,5,5
cptg_tilt_plus_2p0pct,cptg_perturbation,CPTG endpoint-normalized tilt perturbation plus 2.0 percent,4.2,4.0,4,5,0.18110771254354702,0.0015690197078971485,18.215285421226675,0.12027168128124832,0.983462231124218,5,5
planck_tilt_plus_0p5pct,planck_perturbation,Planck endpoint-normalized tilt perturbation plus 0.5 percent,4.8,5.0,4,5,0.1811416632555048,0.001587677592468655,18.2186981349645,0.1223524347734494,0.983455953610344,5,5
planck_ripple_minus_1p0pct,planck_perturbation,Planck sinusoidal ripple perturbation minus 1.0 percent,6.4,6.0,6,7,0.18119189412392475,0.001587057573162967,18.22375049626843,0.12230141083508501,0.9834467011241059,5,5
planck_ripple_minus_2p0pct,planck_perturbation,Planck sinusoidal ripple perturbation minus 2.0 percent,6.6,7.0,6,7,0.18119311614620312,0.0015799015710784687,18.223874446491042,0.12155460118505002,0.9834464855052978,5,5
planck_ripple_minus_0p5pct,planck_perturbation,Planck sinusoidal ripple perturbation minus 0.5 percent,8.0,8.0,8,8,0.18121394868422405,0.0015904531232404195,18.225968222200514,0.12265194678039253,0.9834426329528181,5,5
planck2018_baseline_lcdm,benchmark,Planck 2018 baseline LCDM TT envelope,9.2,9.0,9,10,0.18125107585215178,0.0015937257654931745,18.229701949756365,0.12298710811321346,0.9834357865977195,5,5
cptg_tilt_plus_1p0pct,cptg_perturbation,CPTG endpoint-normalized tilt perturbation plus 1.0 percent,10.0,10.0,9,11,0.181286712226508,0.001581089729851631,18.23328737749792,0.12153327481793383,0.9834292348597256,5,5
planck_ripple_plus_0p5pct,planck_perturbation,Planck sinusoidal ripple perturbation plus 0.5 percent,10.8,11.0,10,11,0.18130324385019303,0.0015968746756781999,18.234948482867196,0.12330681305856557,0.9834261661542104,5,5
planck_tilt_minus_0p5pct,planck_perturbation,Planck endpoint-normalized tilt perturbation minus 0.5 percent,12.6,12.0,12,14,0.18136525808512008,0.00159975874081928,18.24118550090589,0.12362086830402469,0.9834147273622158,5,5
planck_ripple_plus_1p0pct,planck_perturbation,Planck sinusoidal ripple perturbation plus 1.0 percent,12.8,13.0,12,13,0.18137041817366412,0.0015998991346762009,18.241704351154592,0.12361099161779522,0.9834137755128005,5,5
cptg_tilt_plus_0p5pct,cptg_perturbation,CPTG endpoint-normalized tilt perturbation plus 0.5 percent,13.6,14.0,12,14,0.1813834168092962,0.0015871082969142775,18.24301301795074,0.12216361861003636,0.9834113952292718,5,5
cptg_ripple_minus_1p0pct,cptg_perturbation,CPTG sinusoidal ripple perturbation minus 1.0 percent,15.2,15.0,15,16,0.18143404798219503,0.0015863946465896409,18.248105646795374,0.12210123920758396,0.983402056245323,5,5
cptg_ripple_minus_2p0pct,cptg_perturbation,CPTG sinusoidal ripple perturbation minus 2.0 percent,16.2,16.0,15,17,0.18144352600659897,0.0015791898669726314,18.249059986580214,0.12134821161502088,0.9834003171258908,5,5
cptg_ripple_minus_0p5pct,cptg_perturbation,CPTG sinusoidal ripple perturbation minus 0.5 percent,17.0,17.0,16,18,0.1814519476807434,0.0015898156913295043,18.2499054762723,0.12245499767782035,0.9833987490715612,5,5
planck_tilt_minus_1p0pct,planck_perturbation,Planck endpoint-normalized tilt perturbation minus 1.0 percent,18.0,18.0,16,20,0.18148419320237552,0.0016057755526512412,18.25314710348399,0.12425357205525114,0.9833927772781621,5,5
cptg_locked_pi_cmb,cptg,Locked CPTG geometric-pi CMB comparison envelope,18.8,19.0,18,19,0.1814849037178785,0.0015931145348617567,18.25321967101902,0.1227934536137536,0.9833926631838347,5,5
cptg_ripple_plus_0p5pct,cptg_perturbation,CPTG sinusoidal ripple perturbation plus 0.5 percent,19.8,20.0,19,20,0.18153288555447486,0.0015962903289044256,18.258045159526738,0.1231165224237242,0.9833838026564342,5,5
