component,ell_min,ell_max,ell_band,smoothing_arcmin,smoothing_label,cptg_residual_fraction,planck_residual_fraction,cptg_minus_planck_residual_fraction,cptg_residual_rms_uK,planck_residual_rms_uK,cptg_minus_planck_residual_rms_uK,cptg_corr,planck_corr,observed_band_rms_uK,valid_sky_fraction,temperature_field,temperature_unit_inference,mask_field,mask_source_used
SMICA,2,30,2-30,-1.0,native,0.2412490456394991,0.24004968039145141,0.0011993652480476735,10.352125924128064,10.30066051814521,0.051465405982852985,0.9704625171169862,0.9707598899774008,42.910536274607075,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,40,2-40,-1.0,native,0.23270468202305766,0.23164022412802066,0.0010644578950370076,10.910225877018455,10.860319377628475,0.04990649938998004,0.9725470182838915,0.9728011029669443,46.88442786010386,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,64,2-64,-1.0,native,0.21270171520662054,0.2118885411752379,0.0008131740313826463,11.401244205982989,11.357656425297952,0.0435877806850371,0.9771170749213062,0.977293735484209,53.602032286893916,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,95,2-95,-1.0,native,0.1937469473132608,0.19320344627394814,0.000543501039312666,11.76553098926323,11.732526194042427,0.03300479522080302,0.9810515134789684,0.9811586927256448,60.72627802615164,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,30,2-30,10.0,10arcmin,0.2412682823523151,0.24006886497477103,0.0011994173775440597,10.35146983537822,10.300009557704648,0.05146027767357175,0.9704577347241211,0.9707551457088661,42.90439561492941,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,40,2-40,10.0,10arcmin,0.2327342789098228,0.23166956647474793,0.0010647124350748605,10.908731578886384,10.858826329787112,0.04990524909927174,0.972539935942828,0.9727941154813272,46.872044934614784,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,64,2-64,10.0,10arcmin,0.21279067765339096,0.2119765813141559,0.0008140963392350709,11.398386115223435,11.354778075097231,0.04360804012620356,0.9770977050184455,0.977274643162412,53.566191155187546,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,95,2-95,10.0,10arcmin,0.19396651184072225,0.19342066862000507,0.0005458432207171848,11.760419906692952,11.727324784148669,0.033095122544283484,0.9810081264032101,0.9811158937691143,60.631187286340186,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,30,2-30,20.0,20arcmin,0.24133171555679175,0.240132113405777,0.0011996021510147503,10.349324903080085,10.297880887996357,0.05144401508372809,0.9704419616009056,0.9707395015071402,42.8842304427435,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
SMICA,2,40,2-40,20.0,20arcmin,0.23283010564154596,0.2317645894804176,0.001065516161128377,10.9040318005354,10.854130942255434,0.04990085827996538,0.9725169984106506,0.9727714803233187,46.83256819598202,0.8364308675130209,I_STOKES,K_CMB_to_uK,TMASK,COM_CMB_IQU-smica_2048_R3.00_full.fits
