scope,n_components,mean_gap_residual_fraction,std_gap_residual_fraction,min_gap_residual_fraction,max_gap_residual_fraction,span_gap_residual_fraction,mean_gap_rms_uK,std_gap_rms_uK,min_gap_rms_uK,max_gap_rms_uK,span_gap_rms_uK,planck_ahead_all_components
smoothing_native,5,0.00023372839087505427,1.4636082694467568e-05,0.0002101828393994698,0.0002462729222124094,3.609008281293957e-05,0.02350770953367416,0.0014651269054531749,0.021129316175009905,0.02469406466089552,0.003564748485885616,True
smoothing_10arcmin,5,0.00023106504191192646,1.911404046687257e-05,0.00019880034052763285,0.0002465247671987747,4.772442667114185e-05,0.022297214717211845,0.0018450191259304777,0.019174941692526204,0.02383455141412938,0.004659609721603175,True
smoothing_20arcmin,5,0.00016692344036043917,1.7208012861324763e-05,0.00013802143803712252,0.00018054757969962476,4.252614166250224e-05,0.01494288801407535,0.001538910010574238,0.012349598195456224,0.016107940055620773,0.003758341860164549,True
smoothing_40arcmin,5,0.00019938631702191568,1.2694707655222002e-05,0.00018082413005793274,0.00021644528813305475,3.5621158075122006e-05,0.015168655940314935,0.0009486422292844798,0.013749169373820536,0.016396790002488615,0.0026476206286680792,True
smoothing_60arcmin,5,0.0003438172987585586,1.2849425694464571e-05,0.0003335468224709981,0.00036598261842218927,3.243579595119117e-05,0.022846986574094074,0.0007940632214568239,0.022151535740567496,0.02419791338149757,0.002046377640930075,True
smoothing_120arcmin,5,0.0007603780972216589,2.0301047519052472e-05,0.0007384860430833251,0.0007932555931990937,5.476955011576856e-05,0.04020472834430784,0.0008979783661493517,0.03921324729925324,0.041666381504226635,0.002453134204973395,True
smoothing_native_band_2-30,5,0.001198872540732887,2.6353104388322883e-05,0.0011694639388963868,0.0012370722205693463,6.760828167295951e-05,0.05155654108395389,0.0009190180913216373,0.05045774179670559,0.052989556377728064,0.0025318145810224735,True
smoothing_native_band_2-40,5,0.0010664837780400948,2.4542131155753995e-05,0.001037128972719653,0.0011004965742417716,6.336760152211851e-05,0.05005063626723398,0.000924573810604598,0.0488957594209154,0.051420350120057634,0.0025245906991422373,True
smoothing_native_band_2-64,5,0.0008185631093661549,2.0193606423310037e-05,0.0007917276204233992,0.0008436775465897328,5.194992616633365e-05,0.043867985575584356,0.0009120467578547845,0.042653096873438656,0.04511109301115468,0.002457996137716023,True
smoothing_native_band_2-95,5,0.0005477608672180168,1.2983215402625957e-05,0.0005299061808166083,0.0005657619341778719,3.5855753361263565e-05,0.03325495420211091,0.0007119920269967715,0.032318586677774874,0.034290973380455725,0.0019723867026808506,True
smoothing_10arcmin_band_2-30,5,0.0011989277839670853,2.6360971882706137e-05,0.00116951079891639,0.001237138856355846,6.76280574394561e-05,0.051551533933650265,0.0009191092079857376,0.0504525852001283,0.052984642673370885,0.0025320574732425882,True
smoothing_10arcmin_band_2-40,5,0.0010667406197226391,2.4551445144885358e-05,0.0010373746985412047,0.0011007666227632606,6.339192422205597e-05,0.05004947409235818,0.0009246197711067615,0.048894475822981676,0.05141921966488461,0.0025247438419029322,True
smoothing_10arcmin_band_2-64,5,0.0008194802571427628,2.020868090666836e-05,0.0007926257150768501,0.0008446194711813904,5.199375610454027e-05,0.04388775979691743,0.0009118781183000874,0.042673042638302405,0.045130832069389726,0.0024577894310873205,True
smoothing_10arcmin_band_2-95,5,0.0005501221009085233,1.3043716088245951e-05,0.0005321812067829723,0.000568192866258449,3.601165947547669e-05,0.03334599894238686,0.0007136381249843192,0.03240674186141845,0.03438385793035437,0.0019771160689359135,True
smoothing_20arcmin_band_2-30,5,0.001199120458481573,2.638110095217417e-05,0.0011696795232671309,0.0012373607629347083,6.768123966757744e-05,0.051535558281648616,0.0009193920307472718,0.05043626887613861,0.05296909485402779,0.002532825977889175,True
smoothing_20arcmin_band_2-40,5,0.001067550425028796,2.4574460847465487e-05,0.0010381516287977233,0.0011016077150516612,6.345608625393795e-05,0.050045329226736615,0.0009247378373605227,0.048890021842343145,0.05141529356551189,0.0025252717231687427,True
smoothing_20arcmin_band_2-64,5,0.000822284422452041,2.0248213488945326e-05,0.0007953721400381086,0.0008474838587376743,5.211171869956566e-05,0.04394690677900002,0.0009112839489467869,0.04273265761724154,0.045189726547807396,0.0024570689305658533,True
smoothing_20arcmin_band_2-95,5,0.0005572533010830605,1.3224121304638698e-05,0.00053904941021235,0.0005755244948457139,3.647508463336391e-05,0.03361820366161332,0.0007186361222571839,0.032670130052281365,0.03466136335546288,0.0019912333031815166,True
